ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3E2BC1911,0,0,2024/3/14 17:25,4.954598,461.2,463.8,12.89718,11.34667,0,0,1.2,1.2,2,60.23335,322.1666,139.4491,118.962,63.36039,64.45165,10,10,50.06557,49.84352,53.17661,51.38335,0,0,1,1.5,37,180,-0.4679775,120,5.341109,0.1633501,0.1633501,767.9901,0.1633501,275.3117,0.1633501,237.9088,11.39738,1.864937
E3E2BC1911,0,1,2024/3/14 17:25,6.457634,461.4,463.2,12.86996,11.61702,0,0,1.2,1.2,2,59.76277,320.9284,148.3347,118.2079,63.08129,64.53943,10,10,50.42951,50.28239,48.9871,49.58241,0,0,1,1.5,37,180,-0.4679756,120,5.341111,0.6671597,0.6671597,769.5988,0.6671597,275.8006,0.6671597,237.8315,18.47525,13.95875
E3E2BC1911,0,2,2024/3/14 17:25,15.97945,460.2,461.9,13.29013,12.26085,0,0,1.2,1.2,2,59.83246,320.926,142.0385,117.2727,62.27543,63.42413,10,10,49.04508,43.00647,58.54192,51.65556,0,0,1,1.5,37,180,-0.4679718,120,5.341109,1.237196,1.237196,771.8707,1.237196,273.3609,1.237196,237.145,32.23894,24.90444
E3E2BC1911,0,3,2024/3/14 17:25,29.991,454.5,460.4,13.49919,12.58438,0,0,1.2,1.2,2,58.39605,319.2394,147.7624,117.9214,64.95198,65.03512,10,10,53.63853,52.96944,41.20644,49.15926,0,0,1,1.5,37,180,-0.4679737,120,5.341106,4.152792,4.152792,773.1613,4.152792,273.902,4.152792,237.7638,32.58856,24.90669
E3E2BC1911,0,4,2024/3/14 17:26,4.970093,33501.9,33440.5,5.112213,3.640442,0,0,1.2,1.2,2,60.13035,160.5191,146.7226,84.99892,57.50566,56.42899,10,10,50.35165,97.98518,49.94112,50.15186,0,0,1,1.5,37,180,-0.4679775,120,5.341106,6.031936,6.510758,772.1217,6.510758,274.6235,6.510758,238.8032,32.68325,24.9095
E3E2BC1911,0,5,2024/3/14 17:26,4.795772,464.5,462.1,12.53691,11.20741,0,0,1.2,1.2,2,60.03044,238.2353,149.4045,103.718,63.84566,64.47231,10,10,50.09672,64.69722,52.35081,50.45464,0,0,1,1.5,37,180,-0.4679756,120,5.341106,6.065389,6.656722,771.6736,6.656722,275.587,6.656722,239.6057,32.86575,24.91256
E3E2BC1911,0,6,2024/3/14 17:26,37.35123,458,457.7,13.23758,12.50872,0,0,1.2,1.2,2,59.69307,261.4702,136.1047,102.9999,61.7713,63.22663,10,10,49.75901,49.07964,72.25887,61.05556,0,0,1,1.5,37,180,-0.4679756,120,5.341106,7.511906,8.103239,771.8797,8.103239,276.2895,8.103239,239.6734,32.72038,24.91438
E3E2BC1911,0,7,2024/3/14 17:26,59.99751,451,445.8,14.0938,13.51334,0,0,1.2,1.2,2,57.31611,276.7253,147.9823,108.24,65.0601,65.49079,10,10,56.95901,58.97594,34.13952,48.09908,0,0,1,1.5,37,180,-0.4679756,120,5.341106,13.29404,13.88537,771.575,13.88537,277.0394,13.88537,241.0706,32.44994,24.91406
E3E2BC1911,0,8,2024/3/14 17:27,22.09619,457.3,447.4,13.52452,13.2645,0,0,1.2,1.2,2,60.92966,286.4332,123.7673,117.9536,67.50407,67.56519,10,10,53.31475,65.00554,14.58388,31.97408,0,0,1,1.5,37,180,-0.4679737,120,5.287099,18.31281,18.90414,771.8528,18.90414,278.6437,18.90414,243.0914,32.46262,24.91363
E3E2BC1911,0,9,2024/3/14 17:27,4.989462,462.8,451.2,13.41622,12.32792,0,0,1.2,1.2,2,63.06979,296.8575,149.0646,113.0348,63.18312,64.60655,10,10,44.22378,46.71481,62.89112,50.22223,0,0,1,1.5,37,180,-0.4679718,120,5.287082,18.91456,19.5059,771.3644,19.5059,279.8208,19.5059,244.2178,32.71088,24.91363
E3E2BC1911,0,10,2024/3/14 17:27,4.989462,462.4,450.6,13.02939,13.03845,0,0,1.2,1.2,2,60.73847,302.8826,148.6847,111.4733,64.06315,65.06094,10,10,48.36556,48.52779,54.42661,51.70926,0,0,1,1.5,37,180,-0.4679737,120,5.287075,19.42383,20.01516,769.1373,20.01516,280.2195,20.01516,244.2323,32.7225,24.915
E3E2BC1911,0,11,2024/3/14 17:27,4.970093,462.4,450.7,13.45283,13.55435,0,0,1.2,1.2,2,60.20868,307.3063,150.8392,113.1762,64.21779,65.04932,10,10,49.53031,49.25371,51.0008,50.89537,0,0,1,1.5,37,180,-0.4679737,120,5.287073,19.92687,20.51821,769.3793,20.51821,279.5882,20.51821,244.0969,32.73731,24.91575
