ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_AR034,LAACA_AR035,LAACA_AR036,LAACA_AR037,LAACA_AR038,LAACA_AR039,LAACA_AR040,LAACA_AR041,LAACA_AR042,LAACA_AR043,LAACA_AR044,LAACA_AR045,LAACA_AR013,LAACA_AR046,LAACA_AR047,LAACA_AR048,LAACA_AR014,LAACA_AR015,LAACA_AR016,LAACA_AR017,LAACA_AR018,LAACA_AR019,LAACA_AR020,LAACA_AR021,LAACA_AR022,LAACA_AR023,LAACA_AR024,LAACA_AR025,LAACA_AR026,LAACA_AR027,LAACA_AR028,LAACA_AR029,LAACA_AR030,LAACA_AR031,LAACA_AR032,LAACA_AR033,LAACA_AR049,LAACA_AR050,LAACA_AR051,LAACA_AR052,LAACA_AR053,LAACA_AR054,LAACA_AR055,LAACA_AR056,LAACA_AR057,LAACA_AR058,LAACA_AR059,LAACA_AR060,LAACA_AR061,LAACA_AR062,LAACA_AR063,LAACA_AR064,LAACA_AR065,LAACA_AR066,LAACA_AR067,LAACA_AR068,LAACA_AR069,LAACA_AR070,LAACA_AR071,LAACA_AR072,LAACA_AR073,LAACA_AR074,LAACA_AR075,LAACA_AR076,LAACA_AR077,LAACA_AR078,LAACA_AR079,LAACA_AR080,LAACA_AR081,LAACA_AR082,LAACA_AR083,LAACA_AR084,LAACA_AR085,LAACA_AR086,LAACA_AR087,LAACA_AR088,LAACA_AR089,LAACA_AR090,LAACA_AR091,LAACA_AR092,LAACA_AR093,LAACA_AR094,LAACA_AR095,LAACA_AR096,LAACA_AR097,LAACA_AR098,LAACA_AR099,LAACA_AR100,LAACA_AR101,LAACA_AR102,LAACA_AR103,LAACA_AR104,LAACA_AR105,LAACA_AR106,LAACA_AR107,LAACA_AR108,LAACA_AR109,LAACA_AR110,LAACA_AR111,LAACA_AR112,LAACA_AR113,LAACA_AR114
对象号,工步号,顺序号,采集时间,结果_扫描方向,结果_厚度目标,结果_厚度上限,结果_厚度下限,结果_设备编号,结果_正负极,结果_负校准(um),结果_正校准(um),结果_k值,结果_b值,结果_片数,结果_米数,结果_极片厚度AVG,结果_分区数,结果_左厚度均值,结果_右厚度均值,结果_极片厚度P1,结果_极片厚度P2,结果_极片厚度P3,结果_极片厚度P4,结果_极片厚度P5,结果_极片厚度P6,结果_极片厚度P7,结果_极片厚度P8,结果_极片厚度P9,结果_极片厚度P10,结果_极片厚度P11,结果_极片厚度P12,结果_极片厚度P13,结果_极片厚度P14,结果_极片厚度P15,结果_极片厚度P16,结果_极片厚度P17,结果_极片厚度P18,结果_极片厚度P19,结果_极片厚度P20,结果_辊压速度(m/min),结果_ 辊压记米(m),结果_主轧传动侧主缸辊缝(um),结果_ 主轧操作侧主缸辊缝(um),结果_主轧传动侧主缸压力(t),结果_ 主轧操作侧主缸压力(t),结果_主轧传动侧上弯缸压力(t),结果_主轧传动侧下弯缸压力(t),结果_ 主轧操作侧上弯缸压力(t),结果_ 主轧操作侧下弯缸压力(t),结果_ 从轧传动侧主缸辊缝(um),结果_ 从轧操作侧主缸辊缝(um),结果_从轧传动侧主缸压力(t),结果_从轧操作侧主缸压力(t),结果_ 从轧传动侧上弯缸压力(t),结果_ 从轧传动侧下弯缸压力(t),结果_ 从轧操作侧上弯缸压力(t),结果_ 从轧操作侧下弯缸压力(t),结果_ 放卷张力(N),结果_ 入口pinch(除皱)张力(N),结果_ 中间pinch张力(N),结果_ 出口pinch(除皱)张力(N),结果_ 收卷张力1(N),结果_ 收卷张力2(N),结果_ 分切张力(N),结果_本机闭环开关状态,结果_ 闭环软件与plc连接状态,结果_ 辊压机闭环开关状态,结果_辊压机运行状态,结果_辊压机报警信息代号,结果_放卷A轴卷径 ,结果_收卷1B轴卷径 ,结果_收卷2B轴卷径 ,结果_闭环拉伸进料张力 ,结果_闭环拉伸出料张力 ,结果_闭环拉伸A1压力 ,结果_闭环拉伸A2压力 ,结果_闭环拉伸A3压力 ,结果_闭环拉伸A4压力 ,结果_闭环拉伸A5压力 ,结果_闭环拉伸B1压力 ,结果_闭环拉伸B2压力 ,结果_闭环拉伸B3压力 ,结果_闭环拉伸B4压力 ,结果_闭环拉伸B5压力 ,结果_除尘风速1 ,结果_除尘风速2 ,结果_除尘负压1 ,结果_除尘负压2 ,结果_轧辊寿命 ,结果_切刀寿命 ,结果_毛刷寿命 ,结果_CCD外观NG类型 ,结果_是否打标 ,结果_闭环加权左均厚,结果_ 闭环加权右均厚,结果_闭环左侧调节量,结果_ 闭环右侧调节量,结果_ 闭环辊压机距离,结果_闭环最大调节量,结果_ 闭环最小调节量,结果_ 闭环左侧单位调节量,结果_闭环右侧单位调节量,结果_闭环最大加权趟数,结果_闭环最小加权趟数,结果_ 结果_联动引带状态
E3J2BC1221,,1,负极,正向,137,140,143,50.000,2#,2024-03-18 15:08:56,-87.261,500.008,1,1.5,140.850,10,140.629,141.084,140.800,140.750,140.380,140.670,140.540,140.580,141.240,141.330,141.240,141.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,2,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:10,-87.261,499.865,1,1.5,140.690,10,140.499,140.885,140.750,140.500,140.100,140.680,140.470,140.480,140.910,141.250,141.120,140.660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,3,负极,正向,137,140,143,50.000,2#,2024-03-18 15:09:15,-87.261,499.865,1,1.5,140.800,10,140.548,141.043,140.720,140.620,140.300,140.630,140.470,140.690,141.240,141.250,141.220,140.820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,4,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:20,-87.261,499.865,1,1.5,140.670,10,140.482,140.854,140.490,140.560,140.300,140.580,140.480,140.360,141.070,141.090,141.180,140.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,5,负极,正向,137,140,143,50.000,2#,2024-03-18 15:09:24,-87.261,499.865,1,1.5,140.820,10,140.602,141.035,140.800,140.740,140.320,140.620,140.530,140.670,141.240,141.230,141.180,140.850,0,0,0,0,0,0,0,0,0,0,0,-0.0393,-0.0393,0,-0.04,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,6,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:29,-87.261,499.865,1,1.5,140.700,10,140.468,140.932,140.770,140.550,140.180,140.430,140.410,140.400,141.150,141.140,141.160,140.810,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,7,负极,正向,137,140,143,50.000,2#,2024-03-18 15:09:34,-87.261,499.865,1,1.5,140.840,10,140.617,141.066,140.780,140.720,140.350,140.680,140.560,140.520,141.170,141.370,141.300,140.970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,8,负极,反向,137,140,143,50.000,2#,2024-03-18 15:09:39,-87.261,499.865,1,1.5,140.690,10,140.439,140.945,140.700,140.420,140.240,140.440,140.400,140.410,141.200,141.160,141.200,140.750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
E3J2BC1221,,9,负极,正向,137,140,143,50.000,2#,2024-03-18 15:09:44,-87.261,499.865,1,1.5,140.840,10,140.591,141.092,140.820,140.570,140.380,140.690,140.500,140.690,141.230,141.290,141.250,141.010,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393,0.00,0.00,0.00,492.32,494.47,41.90,35.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00
