ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3J2BC1282,0,0,2024-03-18 15:13:06,4.989462,491,493.4,13.34537,11.29203,0,0,1.2,1.2,2,59.9552,319.583,144.763,117.3633,56.93993,58.91905,10,10,51.06721,50.95,47.54678,50.67964,0,0,1,1.5,40,250,-0.4679699,120,7.209623,0.3848118,0.3848118,779.0447,0.3848118,697.4064,0.3848118,662.7785,12.71906,5.454813
E3J2BC1282,0,1,2024-03-18 15:13:12,4.989462,490.1,494.8,13.43604,11.30494,0,0,1.2,1.2,2,60.05819,319.6294,148.0698,118.2736,59.41785,59.43927,10,10,50.33033,50.4398,48.74677,49.43427,0,0,1,1.5,40,250,-0.4679699,120,7.20962,0.8808567,0.8808567,778.3422,0.8808567,697.2451,0.8808567,662.3337,17.33237,20.11825
E3J2BC1282,0,2,2024-03-18 15:13:18,4.970093,490.5,493.9,13.1331,11.33614,0,0,1.2,1.2,2,60.36348,319.4222,149.0646,118.7511,60.34439,59.63677,10,10,50.0631,50.20741,49.66209,49.6676,0,0,1,1.5,40,250,-0.4679718,120,7.209618,1.379293,1.379293,777.7545,1.379293,695.0427,1.379293,662.15,23.09444,24.53238
E3J2BC1282,0,3,2024-03-18 15:13:24,5.004957,490.3,494.6,13.32032,11.13793,0,0,1.2,1.2,2,60.57318,319.6245,149.1646,119.0909,59.81638,59.83556,10,10,50.06475,50.1602,49.78387,49.63055,0,0,1,1.5,40,250,-0.4679718,120,7.209618,1.877795,1.877795,778.6868,1.877795,695.4177,1.877795,661.8503,25.97781,24.90894
E3J2BC1282,0,4,2024-03-18 15:13:30,5.004957,490.7,494.5,13.67489,11.15872,0,0,1.2,1.2,2,60.52631,321.1771,150.9667,119.1306,58.62708,60.21378,10,10,50.01066,50.03889,50.01774,49.78241,0,0,1,1.5,40,250,-0.4679661,120,7.20962,2.376018,2.376018,779.7826,2.376018,696.8131,2.376018,661.8648,25.96375,24.91063
E3J2BC1282,0,5,2024-03-18 15:13:36,29.97551,487.7,492.2,13.59715,11.85795,0,0,1.2,1.2,2,58.83887,318.0354,144.413,116.3487,55.71418,56.23795,10,10,55.35163,53.12593,50.59921,57.13335,0,0,1,1.5,40,250,-0.467968,120,7.444772,4.371318,4.371318,777.2684,4.371318,696.1202,4.371318,662.1307,26.01188,24.91075
E3J2BC1282,0,6,2024-03-18 15:13:48,1.809067,9060.7,9062.3,3.358093,0.9226685,0,0,1.2,1.2,2,52.49187,184.3463,172.0024,63.05267,44.17068,28.47684,10,10,49.9705,97.89073,34.63064,37,0,0,1,1.5,40,250,-0.4679737,120,7.444633,5.788511,5.788628,779.5661,5.788628,695.5269,5.788628,662.9526,25.86062,24.91237
E3J2BC1282,0,7,2024-03-18 15:13:54,4.970093,21219.2,21220,3.304852,0.8684464,0,0,1.2,1.2,2,60.01564,160.6678,146.2527,76.30599,45.37633,36.12386,10,10,50.38853,97.84538,55.1379,51.64723,0,0,1,1.5,40,250,-0.4679718,120,7.444629,5.788511,6.264336,778.0593,6.264336,695.674,6.264336,662.9961,25.895,24.91231
E3J2BC1282,0,8,2024-03-18 15:14:00,4.970093,33414.5,33377.8,3.148403,0.1227608,0,0,1.2,1.2,2,60.29873,164.1483,149.7744,82.12897,49.1064,45.12241,10,10,50.15,97.83611,51.24677,51.17314,0,0,1,1.5,40,250,-0.4679699,120,7.444619,5.788511,6.779851,778.0991,6.779851,697.5109,6.779851,662.2032,26.06069,24.91344
E3J2BC1282,0,9,2024-03-18 15:22:26,4.989462,488.8,493.2,14.65051,12.94341,0,0,1.2,1.2,2,61.23187,319.0322,141.0812,120.2915,57.90545,59.11784,10,10,51.08852,50.70555,50.49113,51.66852,0,0,1,1.5,40,250,-0.4679737,120,7.444624,6.021295,7.15842,778.6647,7.15842,696.8891,7.15842,662.1162,22.65331,24.34144
E3J2BC1282,0,10,2024-03-18 15:22:33,4.989462,489.3,492.8,14.75274,13.13112,0,0,1.2,1.2,2,61.24174,319.5806,149.337,120.8285,60.11181,59.85621,10,10,50.44099,50.35832,48.89355,49.30556,0,0,1,1.5,40,250,-0.4679775,120,7.444616,6.520758,7.657884,777.5556,7.657884,696.6802,7.657884,661.9131,26.17106,24.90381
E3J2BC1282,0,11,2024-03-18 15:22:45,4.989462,486.5,492.1,14.6073,13.27161,0,0,1.2,1.2,2,61.03513,319.488,144.2031,120.2729,59.08092,58.90227,10,10,50.71967,50.7574,48.94677,50.45834,0,0,1,1.5,40,250,-0.4679718,120,7.444619,7.09411,8.231236,780.335,8.231236,694.9335,8.231236,662.4546,26.0795,24.90575
