ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3L2BC2432,0,0,2024-03-20 22:38:09,4.954598,473.3,599.3,13.70972,12.84267,0,0,1.15,1.15,1.5,57.26959,232.7553,121.9664,107.8635,57.25541,57.12215,5,5,50.05154,49.73335,50.42331,48.44753,0,0,1,5.5,40,210,-0.2488823,120,-11.05967,0.2017823,0.2017823,834.7198,0.2017823,605.8478,0.2017823,610.7272,32.35603,32.784
E3L2BC2432,0,1,2024-03-20 22:38:15,4.989462,473.1,599,13.7573,12.69055,0,0,1.15,1.15,1.5,59.0154,230.0217,122.3009,109.7549,57.82768,58.13969,5,5,50.02923,49.60771,50.34061,50.62284,0,0,1,5.5,40,210,-0.2488861,120,-11.05966,0.7002458,0.7002458,835.3372,0.7002458,606.9271,0.7002458,610.5268,32.56595,32.60228
E3L2BC2432,0,2,2024-03-20 22:38:21,11.1217,472.9,599.5,13.78104,13.0405,0,0,1.15,1.15,1.5,59.0361,233.2526,120.5178,109.3945,57.21418,56.92015,5,5,49.34616,51.21196,47.3436,49.49013,0,0,1,5.5,40,210,-0.248888,120,-11.05966,1.235157,1.235157,835.074,1.235157,606.4612,1.235157,610.9904,32.50348,32.45617
E3L2BC2432,0,3,2024-03-20 22:38:27,29.97551,470.4,597.6,14.25424,13.41438,0,0,1.15,1.15,1.5,59.74465,227.0633,120.9604,107.4428,60.26168,60.53234,5,5,50.02539,45.74702,51.80678,54.1321,0,0,1,5.5,40,210,-0.2488861,120,-11.05966,4.015483,4.015483,834.715,4.015483,606.4961,4.015483,611.0611,32.63548,32.63783
E3L2BC2432,0,4,2024-03-20 22:38:39,4.776402,10316.4,10440.3,3.278839,3.14473,0,0,1.15,1.15,1.5,59.31976,105.0062,97.09668,63.43114,40.79713,31.53947,5,5,50.00615,97.06325,23.18723,44.53765,0,0,1,5.5,40,210,-0.248888,120,-11.05966,5.836373,5.889486,834.7198,5.889551,606.3835,5.889551,611.8743,32.55402,32.6739
E3L2BC2432,0,5,2024-03-20 22:38:45,4.989462,22420.3,22544.6,3.276176,3.156563,0,0,1.15,1.15,1.5,58.89853,130.8808,122.6052,66.69019,53.01089,47.539,5,5,49.93385,97.2094,36.53383,50.45679,0,0,1,5.5,40,210,-0.2488899,120,-11.05966,5.836373,6.424182,834.2556,6.424247,606.83,6.424247,611.3989,32.65535,32.75085
E3L2BC2432,0,6,2024-03-20 22:39:34,4.954598,474.5,598.4,13.25363,12.95352,0,0,1.15,1.15,1.5,58.45294,154.8755,119.6074,47.16099,44.88297,37.39501,5,5,47.53308,66.12392,10.90527,53.94876,0,0,1,5.5,40,210,-0.2488842,120,-11.05967,6.209458,7.092581,833.6668,7.092646,606.931,7.092646,611.4382,32.4707,32.74342
E3L2BC2432,0,7,2024-03-20 22:39:40,5.407833,473.4,598.5,13.68649,13.06862,0,0,1.15,1.15,1.5,58.96914,203.5749,124.104,59.6333,54.2179,51.70701,5,5,50.50154,45.46837,55.26465,47.37654,0,0,1,5.5,40,210,-0.248888,120,-11.05966,7.247876,8.131,834.1598,8.131063,607.49,8.131063,611.4382,32.70417,32.81197
E3L2BC2432,0,8,2024-03-20 22:39:46,19.98109,461.8,589.1,15.17214,14.49299,0,0,1.15,1.15,1.5,59.5462,207.799,122.7536,66.9351,59.13964,58.53868,5,5,50.27077,45.23335,54.0842,53.41544,0,0,1,5.5,40,210,-0.2488861,120,-11.05966,9.111848,9.994971,834.2411,9.995036,607.0397,9.995036,611.7447,32.70343,32.5104
