ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3M2BC1772,0,0,2024-03-21 16:14:47,4.970093,579.3,731.2,14.26142,13.51219,0,0,1.15,1.15,1.5,61.85812,223.0116,121.9438,114.5499,60.22295,59.5123,5,5,49.99539,49.41624,50.44887,50.61543,0,0,1,5.5,40,210,-0.2488899,120,-10.59094,0.4334782,0.4334782,826.0471,0.4334782,259.8098,0.4334782,261.4339,31.73668,31.47705
E3M2BC1772,0,1,2024-03-21 16:14:59,4.970093,577.3,731.4,14.45934,13.58178,0,0,1.15,1.15,1.5,60.64068,208.3981,122.0871,113.6482,59.60571,59.94767,5,5,49.48462,53.29231,49.35112,47.98148,0,0,1,5.5,40,210,-0.248888,120,-10.59095,0.9309701,0.9309701,825.846,0.9309701,260.0544,0.9309701,261.4339,31.6778,31.63943
E3M2BC1772,0,2,2024-03-21 16:15:05,4.970093,576.6,731.4,14.16056,13.27615,0,0,1.15,1.15,1.5,59.82013,213.3696,119.8966,113.6495,60.19921,59.836,5,5,50.03923,49.00169,50.30075,50.31173,0,0,1,5.5,40,210,-0.2488899,120,-10.59095,1.429362,1.429362,825.9705,1.429362,260.0621,1.429362,261.2493,31.74537,31.47353
E3M2BC1772,0,3,2024-03-21 16:15:11,20.00046,571.5,730,14.6396,13.92505,0,0,1.15,1.15,1.5,60.81356,216.6141,121.8331,111.002,59.18213,59.66788,5,5,49.53077,50.61879,51.50902,48.2426,0,0,1,5.5,40,210,-0.2488899,120,-10.59094,2.711754,2.711754,825.9657,2.711754,260.1553,2.711754,261.6618,31.82038,31.60267
E3M2BC1772,0,4,2024-03-21 16:15:17,20.00046,571.6,729.8,14.72127,14.19118,0,0,1.15,1.15,1.5,59.96744,219.8855,120.9152,114.6918,60.19046,60.32658,5,5,50.06308,47.59572,50.77293,51.84198,0,0,1,5.5,40,210,-0.248888,120,-10.59094,4.725617,4.725617,826.2145,4.725617,260.6173,4.725617,262.2157,31.8809,31.81433
E3M2BC1772,0,5,2024-03-21 16:15:23,19.9656,572.2,729.7,14.62666,13.82723,0,0,1.15,1.15,1.5,59.9577,224.9438,120.4072,114.2033,59.99305,60.0907,5,5,50.1,48.5641,50.47894,50.80556,0,0,1,5.5,40,210,-0.248888,120,-10.98643,6.738281,6.738281,824.2618,6.738281,261.2618,6.738281,262.7068,31.80875,31.57898
E3M2BC1772,0,6,2024-03-21 16:15:29,20.00046,571.6,729.9,14.56585,13.66228,0,0,1.15,1.15,1.5,59.96135,225.7766,120.6134,114.138,60.01804,59.94265,5,5,50.01154,49.23503,50.24135,50.29382,0,0,1,5.5,40,210,-0.2488861,120,-10.98633,8.776752,8.776752,824.9318,8.776752,262.1702,8.776752,263.4179,31.79037,31.5393
E3M2BC1772,0,7,2024-03-21 16:15:35,20.00046,579.2,737.8,13.84842,13.28413,0,0,1.15,1.15,1.5,59.83231,227.2835,120.46,114.3289,59.98305,59.9163,5,5,49.98153,49.73247,50.08948,50.07963,0,0,1,5.5,40,210,-0.2488861,120,-11.12004,10.79691,10.79691,825.1281,10.79691,262.2518,10.79691,263.8579,31.91105,31.57335
E3M2BC1772,0,8,2024-03-21 16:15:41,19.98109,579.5,737.5,13.59689,12.72134,0,0,1.15,1.15,1.5,60.29493,228.8773,120.6285,114.2875,59.86685,59.93888,5,5,50.00615,49.76237,50.09323,50.09876,0,0,1,5.5,40,210,-0.2488861,120,-11.15971,12.80597,12.80597,825.7216,12.80597,262.869,12.80597,264.4786,31.9121,31.6047
