ObjectNo,StepSequenceNo,SequenceNo,Datetime,LAACA_PR001,LAACA_PR002,LAACA_PR003,LAACA_PR004,LAACA_PR005,LAACA_PR006,LAACA_PR007,LAACA_PR008,LAACA_PR009,LAACA_PR010,LAACA_PR011,LAACA_PR012,LAACA_PR013,LAACA_PR014,LAACA_PR015,LAACA_PR016,LAACA_PR017,LAACA_PR018,LAACA_PR019,LAACA_PR020,LAACA_PR021,LAACA_PR022,LAACA_PR027,LAACA_PR028,LAACA_PR029,LAACA_PR030,LAACA_PR031,LAACA_PR032,LAACA_PR033,LAACA_PR034,LAACA_PR035,LAACA_PR036,LAACA_PR037,LAACA_PR038,LAACA_PR039,LAACA_PR040,LAACA_PR041,LAACA_PR042,LAACA_PR043,LAACA_PR044
对象号,工步号,顺序号,时间戳,结果_辊压速度,结果_传动侧主辊位置,结果_操作侧主辊位置,结果_传动侧上弯缸压力,结果_操作侧上弯缸压力,结果_上刀速比,结果_下刀速比,结果_上收速比,结果_下收速比,结果_毛刷速比,结果_放卷张力,结果_入牵张力,结果_出牵张力,结果_分切入牵张力,结果_上收卷张力,结果_下收卷张力,结果_上收卷锥度,结果_下收卷锥度,结果_放卷摆辊位置,结果_入牵摆辊位置,结果_出牵摆辊位置,结果_分切入牵摆辊位置,结果_上卷宽度偏移量,结果_下卷宽度偏移量,结果_极片厚度k值,结果_极片厚度b值,结果_激光功率,结果_激光频率,结果_激光离焦量,结果_激光脉宽,结果_激光器横向距离,结果_辊压长度,结果_分切长度,结果_放卷卷径,结果_上收卷长度,结果_上收卷卷径,结果_下收卷长度,结果_下收卷卷径,结果_激光除尘风速1,结果_激光除尘风速2
E3N2BC1432,0,0,2024-03-22 13:42:57,5.004957,542.4,682.4,12.72431,12.14621,0,0,1.15,1.15,1.5,60.46294,204.1666,121.0107,118.6442,56.85683,57.17485,5,5,50.16847,56.94701,50.45865,48.72469,0,0,1,5.5,40,210,-0.2488899,120,-10.77531,0.5489846,0.5489846,767.5011,0.5489846,618.0539,0.5489846,623.2083,31.95605,32.25158
E3N2BC1432,0,1,2024-03-22 13:43:03,30.0065,537.1,681,13.3733,12.64427,0,0,1.15,1.15,1.5,59.66551,208.9913,120.4046,115.4931,55.69105,55.47603,5,5,48.74769,58.16411,52.20903,45.70493,0,0,1,5.5,40,210,-0.248888,120,-10.77531,2.374239,2.374239,767.0991,2.374239,618.0267,2.374239,622.6779,32.17078,32.43773
E3N2BC1432,0,2,2024-03-22 13:43:09,30.0065,536.2,680.5,13.4695,12.56684,0,0,1.15,1.15,1.5,59.10184,215.4053,119.4465,121.372,59.02844,59.2024,5,5,49.99231,49.16411,51.36842,52.92593,0,0,1,5.5,40,210,-0.2488899,120,-10.7514,5.396087,5.396087,766.8358,5.396087,618.4537,5.396087,623.0707,32.13965,32.49937
E3N2BC1432,0,3,2024-03-22 13:43:21,4.954598,16813.7,16955.1,3.289459,3.013931,0,0,1.15,1.15,1.5,61.53915,130.5887,123.2867,66.9464,48.07042,45.19403,5,5,49.89615,97.30086,34.76465,49.52901,0,0,1,5.5,40,210,-0.2488899,120,-10.72612,6.002565,6.30694,765.7876,6.30694,617.8093,6.30694,623.2476,32.0762,32.41087
E3N2BC1432,0,4,2024-03-22 13:44:45,4.970093,539.9,681.4,12.83598,12.37014,0,0,1.15,1.15,1.5,58.56008,196.6801,109.4297,86.507,56.82184,56.811,5,5,49.01154,57.80769,46.52106,44.87963,0,0,1,5.5,40,210,-0.2488899,120,-10.72612,6.120705,6.810008,766.4242,6.810008,619.1992,6.810008,623.9468,31.89155,32.45182
E3N2BC1432,0,5,2024-03-22 13:44:51,4.989462,538.4,681.2,13.24749,12.3,0,0,1.15,1.15,1.5,59.43055,193.6289,107.8981,88.99619,57.1667,57.81599,5,5,50.08231,48.54445,50.56541,51.09321,0,0,1,5.5,40,210,-0.2488899,120,-10.72613,6.618732,7.308036,766.1992,7.308036,618.7061,7.308036,623.4282,32.06975,32.40202
E3N2BC1432,0,6,2024-03-22 13:45:03,5.020452,536,680.4,13.87452,12.8389,0,0,1.15,1.15,1.5,60.76365,195.8054,105.4989,90.2031,57.39911,56.78465,5,5,49.90693,49.51112,50.46014,49.80987,0,0,1,5.5,40,210,-0.248888,120,-10.72613,7.063718,7.753022,766.1561,7.753022,619.1021,7.753022,623.0472,31.95545,32.37188
E3N2BC1432,0,7,2024-03-22 13:45:09,29.991,534,679.5,14.3633,13.3286,0,0,1.15,1.15,1.5,61.21288,197.7841,106.0824,86.94782,55.41616,54.9566,5,5,48.72615,54.15215,51.11504,43.46296,0,0,1,5.5,40,210,-0.248888,120,-10.72613,8.775526,9.464829,765.5914,9.464829,618.4499,9.464829,623.6522,32.05085,32.21145
E3N2BC1432,0,8,2024-03-22 13:45:16,29.991,525.7,672.2,15.25975,14.27054,0,0,1.15,1.15,1.5,59.85909,198.16,104.7319,94.31617,58.92348,59.13088,5,5,50.06539,46.30855,51.29022,52.91728,0,0,1,5.5,40,210,-0.2488918,120,-10.72612,11.79382,12.48313,765.4191,12.48313,619.0944,12.48313,623.7818,32.1272,32.32215
