产品型号,批次膜卷号,操作员工号,扫描方向,厚度下限,厚度目标,厚度上限,极限偏离,设备编号,正负极,时间,负校准(um),正校准(um),k值,b值,厚度平均值,分区数,左厚度均值,右厚度均值,厚度1,厚度2,厚度3,厚度4,厚度5,厚度6,厚度7,厚度8,厚度9,厚度10,分条1起点卷长(mm),分条1终点卷长(mm),分条2起点卷长(mm),分条2终点卷长(mm),卷长,辊压速度(m/min), 辊压记米(m),主轧传动侧主缸辊缝(um), 主轧操作侧主缸辊缝(um),主轧传动侧主缸压力(t), 主轧操作侧主缸压力(t),主轧传动侧上弯缸压力(t),主轧传动侧下弯缸压力(t), 主轧操作侧上弯缸压力(t), 主轧操作侧下弯缸压力(t), 从轧传动侧主缸辊缝(um), 从轧操作侧主缸辊缝(um),从轧传动侧主缸压力(t),从轧操作侧主缸压力(t), 从轧传动侧上弯缸压力(t), 从轧传动侧下弯缸压力(t), 从轧操作侧上弯缸压力(t), 从轧操作侧下弯缸压力(t), 放卷张力(N), 入口pinch(除皱)张力(N), 中间pinch张力(N), 出口pinch(除皱)张力(N), 收卷张力1(N), 收卷张力2(N), 分切张力(N),本机闭环开关状态, 闭环软件与plc连接状态, 辊压机闭环开关状态,辊压机运行状态,辊压机报警信息代号,放卷A轴卷径 ,收卷1B轴卷径 ,收卷2B轴卷径 ,闭环拉伸进料张力 ,闭环拉伸出料张力 ,闭环拉伸A1压力 ,闭环拉伸A2压力 ,闭环拉伸A3压力 ,闭环拉伸A4压力 ,闭环拉伸A5压力 ,闭环拉伸B1压力 ,闭环拉伸B2压力 ,闭环拉伸B3压力 ,闭环拉伸B4压力 ,闭环拉伸B5压力 ,除尘风速1 ,除尘风速2,除尘风速3 ,除尘风速4,除尘风速5,除尘负压1 ,除尘负压2 ,轧辊寿命 ,切刀寿命 ,毛刷寿命 ,CCD外观NG类型 ,是否打标 ,闭环加权左均厚, 闭环加权右均厚,闭环左侧调节量, 闭环右侧调节量, 闭环辊压机距离,闭环最大调节量, 闭环最小调节量, 闭环左侧单位调节量,闭环右侧单位调节量,闭环最大加权趟数, 闭环最小加权趟数, 联动引带状态
280Ah,E3J2BC0941,飞带,正向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.801,1,1.5,141.87,10,141.035,142.704,140.83,141.03,140.8,141.18,141.33,141.97,143.06,142.87,142.97,142.66,464.3667,530.4186,530.4186,617.5586,703.91,6.86,0.66,483.22,485.16,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,反向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,140.82,10,140.056,141.579,139.79,139.69,139.9,140.27,140.63,140.89,141.97,141.87,141.68,141.48,1216.778,1149.273,1149.273,1092.999,1393.41,4.95,1.32,482.56,484.98,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,正向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,141.89,10,140.847,142.937,140.44,140.63,140.78,140.85,141.52,142.25,143.14,143.18,143.06,143.05,1518.528,1586.818,1586.818,1646.744,1797.62,4.97,1.67,482.56,484.98,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,反向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,141.79,10,141.128,142.451,141.39,140.6,141.15,141.06,141.44,141.8,142.46,142.69,142.73,142.57,2016.628,1971.663,1971.663,1888.097,2434.58,9.42,2.12,482.56,484.98,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,正向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,141.16,10,140.756,141.554,140.64,140.71,140.67,140.86,140.91,141.58,141.97,141.64,141.51,141.06,2959.655,3204.385,3204.385,3476.722,4093.34,19.98,3.58,477.41,483.57,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,反向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,139.54,10,139.199,139.885,139.47,139.1,139.19,139.04,139.19,139.68,140.72,140.44,140.31,138.27,4967.683,4741.252,4741.252,4459.687,5728.1,20,5.36,477.41,483.57,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,正向,137,140,143,50,2#,负极,2024/3/18 11:00,-85.383,499.836,1,1.5,138.89,10,138.147,139.639,138.45,138.28,138.16,138.11,137.74,138.34,139.67,140.13,140.23,139.83,6555.758,7144.178,7144.178,7687.006,8860.55,40.01,7.63,481.68,483.97,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,反向,137,140,143,50,2#,负极,2024/3/18 11:01,-85.383,499.836,1,1.5,138.4,10,137.892,138.901,138.1,137.71,137.65,138.03,137.98,138.3,138.96,138.91,139.25,139.08,10695.51,10165.17,10165.17,9583.311,12413.02,41.79,11.14,480.77,483.72,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.67,139.76,1,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,正向,137,140,143,50,2#,负极,2024/3/18 11:01,-85.383,499.836,1,1.5,140.18,10,140.111,140.253,139.84,140.01,140.18,140.39,140.15,140.62,141.02,140.55,139.77,139.3,13841.94,14859.93,14859.93,15475.01,17664.94,65.06,16.21,485.66,490.03,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.41,139.47,1,0,5,5,2,-3,-3,10,3,无
280Ah,E3J2BC0941,飞带,反向,137,140,143,50,2#,负极,2024/3/18 11:01,-85.383,499.836,1,1.5,140.57,10,140.351,140.796,142.88,140.68,139.43,139.33,139.43,140.13,140.93,140.79,141,141.13,20994.52,20070.73,20070.73,18900.49,24025.09,79.99,22.22,482.24,492.1,41.9,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.84,139.67,3.48,0,5,5,2,-3,-3,10,3,无
