batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP
E3L2BC2431,2024-03-20 22:38:18,143.22,936.9,4.99,0.87,473.48,599.38,0,0
E3L2BC2431,2024-03-20 22:38:32,141.83,5820.27,17.03,5.66,470.61,597.66,0,0
E3L2BC2431,2024-03-20 22:38:37,140.47,5874.27,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:38:42,140.62,6131.56,4.97,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:38:47,141.19,6550.73,4.99,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:38:52,142.64,6742.13,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:38:56,142.67,6740.6,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:01,142.92,6740.56,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:06,142.88,6740.56,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:11,143.05,6740.56,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:16,142.98,6740.56,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:21,143.0,6733.06,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:26,142.94,6731.53,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:31,143.09,6731.22,0.0,5.84,474.77,598.8,0,0
E3L2BC2431,2024-03-20 22:39:36,142.9,7033.28,4.97,6.52,473.26,598.34,0,0
E3L2BC2431,2024-03-20 22:39:41,142.74,7692.82,4.97,7.23,473.26,598.34,0,0
E3L2BC2431,2024-03-20 22:39:56,176.57,12562.48,19.98,11.89,461.83,589.4,0,0
E3L2BC2431,2024-03-20 22:40:09,137.91,17135.42,20.0,16.64,461.83,589.4,0,0
E3L2BC2431,2024-03-20 22:40:14,137.22,18776.32,19.98,18.1,461.83,589.4,0,0
E3L2BC2431,2024-03-20 22:40:19,136.49,20417.09,19.98,20.01,469.83,597.4,0,0
E3L2BC2431,2024-03-20 22:40:24,136.34,22057.95,20.0,21.54,469.83,597.4,0,0
E3L2BC2431,2024-03-20 22:40:29,136.3,23696.64,19.98,23.04,469.83,597.4,0,0
E3L2BC2431,2024-03-20 22:40:34,135.49,24372.52,0.0,24.28,470.2,597.5,0,0
E3L2BC2431,2024-03-20 22:40:39,135.91,24372.55,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:40:44,135.9,24372.4,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:40:49,136.09,24372.52,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:40:54,136.04,24372.55,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:40:59,136.21,24372.52,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:04,136.11,24372.44,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:09,136.3,24372.48,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:14,136.22,24372.55,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:19,136.36,24372.55,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:33,136.45,24372.48,0.0,24.28,474.34,598.63,0,0
E3L2BC2431,2024-03-20 22:41:47,136.58,24372.52,0.0,24.28,474.34,598.63,0,0
