batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP
E3M2BC1771,2024-03-21 16:14:49,139.06,665.98,4.97,0.59,578.88,731.7,0,0
E3M2BC1771,2024-03-21 16:15:03,138.96,1292.14,4.97,1.19,576.87,731.15,0,0
E3M2BC1771,2024-03-21 16:15:08,139.66,1799.07,4.99,1.55,576.87,731.15,0,0
E3M2BC1771,2024-03-21 16:15:13,139.22,3457.75,20.0,3.18,571.75,729.74,0,0
E3M2BC1771,2024-03-21 16:15:18,138.74,5087.26,20.0,4.65,571.75,729.74,0,0
E3M2BC1771,2024-03-21 16:15:23,135.66,6728.19,20.0,6.16,571.75,729.74,0,0
E3M2BC1771,2024-03-21 16:15:28,137.13,8384.2,20.0,8.16,571.75,729.74,0,0
E3M2BC1771,2024-03-21 16:15:33,137.24,10023.17,19.98,9.7,579.75,737.74,0,0
E3M2BC1771,2024-03-21 16:15:38,136.5,11664.42,20.0,11.31,579.75,737.74,0,0
E3M2BC1771,2024-03-21 16:15:43,137.2,13303.43,20.0,12.94,579.75,737.74,0,0
E3M2BC1771,2024-03-21 16:15:48,138.4,14942.47,19.97,14.49,579.75,737.74,0,0
E3M2BC1771,2024-03-21 16:15:53,138.8,16583.84,20.0,15.96,585.75,737.74,0,0
E3M2BC1771,2024-03-21 16:15:58,139.13,18224.73,20.0,17.96,585.99,730.83,0,0
E3M2BC1771,2024-03-21 16:16:03,139.73,19867.98,20.0,19.53,585.99,730.83,0,0
E3M2BC1771,2024-03-21 16:16:08,139.76,21507.46,20.0,21.06,585.99,730.83,0,0
E3M2BC1771,2024-03-21 16:16:13,140.05,23150.55,19.97,22.92,585.99,730.83,0,0
E3M2BC1771,2024-03-21 16:16:27,139.4,31092.85,39.97,29.94,583.69,730.2,0,0
E3M2BC1771,2024-03-21 16:16:41,139.7,40245.69,40.0,39.05,580.5,736.03,0,0
E3M2BC1771,2024-03-21 16:16:46,140.25,43536.27,40.0,43.1,580.5,736.03,0,0
E3M2BC1771,2024-03-21 16:16:51,140.26,46980.99,40.06,45.98,583.31,733.45,0,0
E3M2BC1771,2024-03-21 16:16:56,140.01,52704.34,69.97,50.53,578.8,732.04,0,0
E3M2BC1771,2024-03-21 16:17:01,140.52,58300.97,69.97,57.71,579.13,732.65,0,0
E3M2BC1771,2024-03-21 16:17:06,140.0,64255.58,69.97,62.33,579.13,732.65,0,0
E3M2BC1771,2024-03-21 16:17:11,140.2,69786.01,70.0,68.91,579.13,732.65,0,0
E3M2BC1771,2024-03-21 16:17:16,140.39,75539.79,69.99,74.14,578.4,732.52,0,0
E3M2BC1771,2024-03-21 16:17:21,140.17,81843.75,79.44,79.49,578.3,732.5,0,0
E3M2BC1771,2024-03-21 16:17:25,139.93,90081.13,99.99,89.34,578.24,730.48,0,0
E3M2BC1771,2024-03-21 16:17:31,140.33,98526.31,99.98,95.9,578.24,730.48,0,0
E3M2BC1771,2024-03-21 16:17:35,140.23,106504.63,99.98,105.03,577.8,730.22,0,0
E3M2BC1771,2024-03-21 16:17:40,140.16,114738.42,99.98,112.9,577.8,730.22,0,0
E3M2BC1771,2024-03-21 16:17:45,139.93,122950.59,99.96,120.87,577.81,729.6,0,0
E3M2BC1771,2024-03-21 16:17:50,140.25,131227.0,99.98,128.4,577.81,729.6,0,0
E3M2BC1771,2024-03-21 16:18:05,139.44,155546.27,99.99,153.56,574.83,726.83,0,0
E3M2BC1771,2024-03-21 16:18:19,139.65,178461.34,99.98,175.62,574.83,726.83,0,0
E3M2BC1771,2024-03-21 16:18:24,139.59,186748.52,99.98,185.7,577.17,727.44,0,0
E3M2BC1771,2024-03-21 16:18:29,140.02,194897.61,99.98,193.94,577.17,727.44,0,0
E3M2BC1771,2024-03-21 16:18:34,139.79,203397.5,99.98,201.53,576.38,726.9,0,0
E3M2BC1771,2024-03-21 16:18:38,140.04,211376.05,99.98,208.86,576.38,726.9,0,0
E3M2BC1771,2024-03-21 16:18:43,139.87,219578.59,99.98,218.86,576.82,727.01,0,0
E3M2BC1771,2024-03-21 16:18:48,140.0,227844.41,99.98,226.39,576.82,727.01,0,0
E3M2BC1771,2024-03-21 16:18:53,139.82,236046.36,99.99,234.39,577.4,726.83,0,0
E3M2BC1771,2024-03-21 16:18:58,140.06,244291.11,99.99,242.16,577.4,726.83,0,0
E3M2BC1771,2024-03-21 16:19:03,140.02,252525.14,99.98,249.7,577.23,727.03,0,0
E3M2BC1771,2024-03-21 16:19:08,139.94,260716.77,99.99,260.04,577.23,727.03,0,0
E3M2BC1771,2024-03-21 16:19:13,140.04,268929.28,99.98,266.87,577.7,726.82,0,0
E3M2BC1771,2024-03-21 16:19:18,140.09,277152.53,99.98,274.56,577.7,726.82,0,0
E3M2BC1771,2024-03-21 16:19:23,140.06,285365.56,99.98,284.67,577.42,726.51,0,0
E3M2BC1771,2024-03-21 16:19:28,139.95,293620.63,99.99,292.42,577.42,726.51,0,0
E3M2BC1771,2024-03-21 16:19:43,140.32,317939.78,99.99,317.51,578.22,726.29,0,0
E3M2BC1771,2024-03-21 16:19:56,140.25,340854.13,99.99,340.42,578.22,726.29,0,0
E3M2BC1771,2024-03-21 16:20:01,140.19,349077.44,99.99,347.3,576.82,725.58,0,0
E3M2BC1771,2024-03-21 16:20:06,140.02,357343.47,99.98,354.6,576.82,725.58,0,0
E3M2BC1771,2024-03-21 16:20:11,139.98,365535.03,99.98,363.93,577.28,726.09,0,0
E3M2BC1771,2024-03-21 16:20:16,140.02,373769.09,99.96,371.46,577.28,726.09,0,0
E3M2BC1771,2024-03-21 16:20:21,140.15,382002.81,99.98,381.34,577.59,725.61,0,0
E3M2BC1771,2024-03-21 16:20:26,139.99,390205.09,99.98,388.91,577.59,725.61,0,0
E3M2BC1771,2024-03-21 16:20:31,139.97,398417.88,99.96,396.61,577.51,725.3,0,0
E3M2BC1771,2024-03-21 16:20:36,140.02,406651.72,99.98,404.32,577.51,725.3,0,0
E3M2BC1771,2024-03-21 16:20:41,140.12,414864.41,99.98,414.53,577.7,725.39,0,0
E3M2BC1771,2024-03-21 16:20:46,139.96,423087.88,99.98,422.01,577.7,725.39,0,0
E3M2BC1771,2024-03-21 16:20:51,139.89,431321.78,99.98,429.14,577.7,725.25,0,0
E3M2BC1771,2024-03-21 16:20:56,140.02,439534.47,99.98,439.28,577.7,725.25,0,0
E3M2BC1771,2024-03-21 16:21:01,140.2,447757.69,99.98,446.87,577.72,725.51,0,0
E3M2BC1771,2024-03-21 16:21:06,139.98,456013.25,99.99,454.35,577.72,725.51,0,0
E3M2BC1771,2024-03-21 16:21:20,140.53,480342.38,99.99,479.26,577.71,725.07,0,0
E3M2BC1771,2024-03-21 16:21:34,140.24,503299.84,99.99,501.81,577.71,725.07,0,0
E3M2BC1771,2024-03-21 16:21:39,140.15,511501.78,100.01,509.39,576.69,724.01,0,0
E3M2BC1771,2024-03-21 16:21:44,140.0,519735.88,99.99,519.42,576.69,724.01,0,0
E3M2BC1771,2024-03-21 16:21:49,140.2,527959.0,99.99,526.78,577.18,724.87,0,0
E3M2BC1771,2024-03-21 16:21:54,140.08,536193.31,100.01,534.26,577.18,724.87,0,0
E3M2BC1771,2024-03-21 16:21:59,140.12,544543.94,100.01,544.23,576.8,724.01,0,0
E3M2BC1771,2024-03-21 16:22:04,140.02,552629.06,99.99,551.86,576.8,724.01,0,0
E3M2BC1771,2024-03-21 16:22:09,140.3,561140.0,99.99,559.57,576.5,724.55,0,0
E3M2BC1771,2024-03-21 16:22:14,140.02,569043.94,99.99,567.16,576.5,724.55,0,0
E3M2BC1771,2024-03-21 16:22:19,140.08,577256.44,99.99,577.05,576.34,723.94,0,0
E3M2BC1771,2024-03-21 16:22:24,139.9,585511.94,99.99,584.58,576.34,723.94,0,0
E3M2BC1771,2024-03-21 16:22:28,140.15,593714.0,99.98,592.65,576.23,724.86,0,0
E3M2BC1771,2024-03-21 16:22:33,139.85,601916.25,99.99,600.25,576.23,724.86,0,0
E3M2BC1771,2024-03-21 16:22:38,140.02,610150.25,99.99,610.16,576.38,724.7,0,0
E3M2BC1771,2024-03-21 16:22:44,139.91,618735.13,99.98,617.67,576.38,724.7,0,0
E3M2BC1771,2024-03-21 16:22:58,140.12,642766.69,99.98,642.46,576.24,725.13,0,0
E3M2BC1771,2024-03-21 16:23:12,140.04,665713.63,99.99,665.26,576.24,725.13,0,0
E3M2BC1771,2024-03-21 16:23:17,140.3,673915.56,99.99,672.58,575.97,724.76,0,0
E3M2BC1771,2024-03-21 16:23:22,139.84,682128.19,100.01,680.23,575.97,724.76,0,0
E3M2BC1771,2024-03-21 16:23:27,140.06,690351.5,99.98,688.04,576.16,725.14,0,0
E3M2BC1771,2024-03-21 16:23:32,140.0,698574.69,99.96,698.39,576.16,725.14,0,0
E3M2BC1771,2024-03-21 16:23:36,140.03,706787.56,99.98,706.1,575.91,725.14,0,0
E3M2BC1771,2024-03-21 16:23:42,139.9,715223.19,99.98,713.47,575.91,725.14,0,0
E3M2BC1771,2024-03-21 16:23:46,140.05,723233.88,99.99,723.2,576.33,725.28,0,0
E3M2BC1771,2024-03-21 16:23:51,140.05,731467.94,99.98,730.51,576.33,725.28,0,0
E3M2BC1771,2024-03-21 16:23:56,139.85,739669.88,99.99,740.04,575.87,725.12,0,0
E3M2BC1771,2024-03-21 16:24:01,140.1,747882.56,99.99,747.47,575.87,725.12,0,0
E3M2BC1771,2024-03-21 16:24:06,140.02,756105.88,99.99,754.87,576.19,725.07,0,0
E3M2BC1771,2024-03-21 16:24:11,140.15,764339.88,99.99,762.36,576.19,725.07,0,0
E3M2BC1771,2024-03-21 16:24:16,139.85,772573.94,99.98,771.52,575.99,724.57,0,0
E3M2BC1771,2024-03-21 16:24:21,140.18,780797.0,99.99,781.1,575.99,724.57,0,0
E3M2BC1771,2024-03-21 16:24:36,139.98,805307.25,99.98,803.79,575.82,724.8,0,0
E3M2BC1771,2024-03-21 16:24:50,140.19,828222.13,99.99,828.14,575.82,724.8,0,0
E3M2BC1771,2024-03-21 16:24:55,140.1,836466.38,99.99,835.5,575.73,724.26,0,0
E3M2BC1771,2024-03-21 16:24:59,140.09,844700.75,99.99,843.1,575.73,724.26,0,0
E3M2BC1771,2024-03-21 16:25:04,139.82,852902.69,99.99,852.85,575.73,724.26,0,0
E3M2BC1771,2024-03-21 16:25:09,140.32,861125.81,99.99,860.42,576.42,724.73,0,0
E3M2BC1771,2024-03-21 16:25:14,140.32,869338.63,99.99,867.92,576.42,724.73,0,0
E3M2BC1771,2024-03-21 16:25:19,140.34,877562.06,99.99,877.92,574.34,723.87,0,0
E3M2BC1771,2024-03-21 16:25:24,139.77,885774.06,99.99,884.68,574.34,723.87,0,0
E3M2BC1771,2024-03-21 16:25:29,140.06,893997.81,99.99,892.27,576.27,724.13,0,0
E3M2BC1771,2024-03-21 16:25:34,140.3,902231.81,99.99,901.51,576.27,724.13,0,0
E3M2BC1771,2024-03-21 16:25:39,140.22,910465.69,99.99,908.82,574.68,723.37,0,0
E3M2BC1771,2024-03-21 16:25:44,139.94,918678.31,99.98,919.0,574.68,723.37,0,0
E3M2BC1771,2024-03-21 16:25:49,139.86,926890.88,99.99,926.36,576.08,722.98,0,0
E3M2BC1771,2024-03-21 16:25:54,140.02,935103.81,99.99,933.65,576.08,722.98,0,0
E3M2BC1771,2024-03-21 16:25:59,139.93,943327.13,100.01,943.6,575.58,723.55,0,0
E3M2BC1771,2024-03-21 16:26:13,140.26,967678.06,99.99,968.17,575.58,723.55,0,0
E3M2BC1771,2024-03-21 16:26:27,140.02,990773.44,99.98,990.61,574.99,722.84,0,0
E3M2BC1771,2024-03-21 16:26:32,139.91,998847.81,99.98,998.19,574.99,722.84,0,0
E3M2BC1771,2024-03-21 16:26:37,140.07,1007039.13,99.98,1005.62,576.11,722.99,0,0
E3M2BC1771,2024-03-21 16:26:42,140.11,1015273.31,99.98,1015.77,576.11,722.99,0,0
