产品型号,批次膜卷号,操作员工号,扫描方向,厚度下限,厚度目标,厚度上限,极限偏离,设备编号,正负极,时间,负校准(um),正校准(um),k值,b值,厚度平均值,分区数,左厚度均值,右厚度均值,厚度1,厚度2,厚度3,厚度4,厚度5,分条1起点卷长(mm),分条1终点卷长(mm),分条2起点卷长(mm),分条2终点卷长(mm),卷长,辊压速度(m/min), 辊压记米(m),主轧传动侧主缸辊缝(um), 主轧操作侧主缸辊缝(um),主轧传动侧主缸压力(t), 主轧操作侧主缸压力(t),主轧传动侧上弯缸压力(t),主轧传动侧下弯缸压力(t), 主轧操作侧上弯缸压力(t), 主轧操作侧下弯缸压力(t), 从轧传动侧主缸辊缝(um), 从轧操作侧主缸辊缝(um),从轧传动侧主缸压力(t),从轧操作侧主缸压力(t), 从轧传动侧上弯缸压力(t), 从轧传动侧下弯缸压力(t), 从轧操作侧上弯缸压力(t), 从轧操作侧下弯缸压力(t), 放卷张力(N), 入口pinch(除皱)张力(N), 中间pinch张力(N), 出口pinch(除皱)张力(N), 收卷张力1(N), 收卷张力2(N), 分切张力(N),本机闭环开关状态, 闭环软件与plc连接状态, 辊压机闭环开关状态,辊压机运行状态,辊压机报警信息代号,放卷A轴卷径 ,收卷1B轴卷径 ,收卷2B轴卷径 ,闭环拉伸进料张力 ,闭环拉伸出料张力 ,闭环拉伸A1压力 ,闭环拉伸A2压力 ,闭环拉伸A3压力 ,闭环拉伸A4压力 ,闭环拉伸A5压力 ,闭环拉伸B1压力 ,闭环拉伸B2压力 ,闭环拉伸B3压力 ,闭环拉伸B4压力 ,闭环拉伸B5压力 ,除尘风速1 ,除尘风速2,除尘风速3 ,除尘风速4,除尘风速5,除尘负压1 ,除尘负压2 ,轧辊寿命 ,切刀寿命 ,毛刷寿命 ,CCD外观NG类型 ,是否打标 ,闭环加权左均厚, 闭环加权右均厚,闭环左侧调节量, 闭环右侧调节量, 闭环辊压机距离,闭环最大调节量, 闭环最小调节量, 闭环左侧单位调节量,闭环右侧单位调节量,闭环最大加权趟数, 闭环最小加权趟数, 联动引带状态
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:45,14.618,0,1,4.566,138.7,5,138.551,138.809,138.72,138.38,138.91,138.89,138.62,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:45,14.618,500.327,1,4.566,138.32,5,138.086,138.481,138.32,137.85,138.48,138.62,138.35,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:45,14.618,500.327,1,4.566,138.56,5,138.46,138.631,138.5,138.42,138.89,138.79,138.21,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:45,14.618,500.327,1,4.566,138.3,5,138.099,138.437,138.34,137.85,138.65,138.51,138.15,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.49,5,138.378,138.57,138.6,138.15,138.67,138.72,138.32,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.22,5,138.089,138.301,138.35,137.83,138.43,138.41,138.06,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.41,5,138.193,138.556,138.5,137.88,138.56,138.87,138.24,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.29,5,138.039,138.452,138.15,137.93,138.56,138.6,138.19,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.37,5,138.212,138.482,138.38,138.04,138.57,138.54,138.34,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.22,5,138.103,138.295,138.28,137.92,138.3,138.46,138.12,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.34,5,138.241,138.412,138.36,138.12,138.66,138.48,138.1,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.25,5,138.093,138.354,138.32,137.86,138.46,138.46,138.14,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.33,5,138.168,138.448,138.28,138.05,138.58,138.68,138.08,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.16,5,138.005,138.262,138.21,137.8,138.38,138.37,138.03,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,正向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.34,5,138.272,138.384,138.56,137.99,138.62,138.49,138.04,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
test1,E3J2BC0942,jytdf,反向,137,140,143,50,1#,负极,2024/3/21 14:46,14.618,500.327,1,4.566,138.13,5,137.932,138.253,138.12,137.75,138.33,138.41,138.02,0,0,0,0,0,0,0,578.18,573.59,21,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.5,-1,-1,10,3,无
