batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP,thickness_average_second
E3M2BC1771,2024-03-21 16:16:27,139.4,5092.8499999999985,39.97,29.94,583.69,730.2,14.05446,12.8918,144.72738527960524
E3M2BC1771,2024-03-21 16:16:41,139.7,14245.690000000002,40.0,39.05,580.5,736.03,13.65701,12.8124,142.65404467437614
E3M2BC1771,2024-03-21 16:16:46,140.25,17536.269999999997,40.0,43.1,580.5,736.03,13.77047,12.84293,142.9982071167883
E3M2BC1771,2024-03-21 16:16:51,140.26,20980.989999999998,40.06,45.98,583.31,733.45,14.11581,12.85827,142.78647965998786
E3M2BC1771,2024-03-21 16:16:56,140.01,26704.339999999997,69.97,50.53,578.8,732.04,14.05841,13.03888,142.78896380145278
E3M2BC1771,2024-03-21 16:17:01,140.52,32300.97,69.97,57.71,579.13,732.65,14.09406,13.03272,143.2335593730666
E3M2BC1771,2024-03-21 16:17:06,140.0,38255.58,69.97,62.33,579.13,732.65,14.03251,13.06529,143.308029976175
E3M2BC1771,2024-03-21 16:17:11,140.2,43786.009999999995,70.0,68.91,579.13,732.65,14.10707,13.17844,143.11302828467151
E3M2BC1771,2024-03-21 16:17:16,140.39,49539.78999999999,69.99,74.14,578.4,732.52,14.10881,13.10602,143.12609556231004
E3M2BC1771,2024-03-21 16:17:21,140.17,55843.75,79.44,79.49,578.3,732.5,14.39431,13.11049,142.75884627046696
E3M2BC1771,2024-03-21 16:17:25,139.93,64081.130000000005,99.99,89.34,578.24,730.48,14.33985,13.27627,142.7276238877339
E3M2BC1771,2024-03-21 16:17:31,140.33,72526.31,99.98,95.9,578.24,730.48,14.35836,13.41076,143.12614639175257
E3M2BC1771,2024-03-21 16:17:35,140.23,80504.63,99.98,105.03,577.8,730.22,14.33264,13.47001,143.1280781762918
E3M2BC1771,2024-03-21 16:17:40,140.16,88738.42,99.98,112.9,577.8,730.22,14.21689,13.37982,142.73067071688942
E3M2BC1771,2024-03-21 16:17:45,139.93,96950.59,99.96,120.87,577.81,729.6,14.51218,13.48034,143.4113068915861
E3M2BC1771,2024-03-21 16:17:50,140.25,105227.0,99.98,128.4,577.81,729.6,14.51218,13.48034,143.82512150668288
E3M2BC1771,2024-03-21 16:18:05,139.44,129546.26999999999,99.99,153.56,574.83,726.83,14.66369,13.60485,142.9489989665354
E3M2BC1771,2024-03-21 16:18:19,139.65,152461.34,99.98,175.62,574.83,726.83,14.6283,13.59032,142.30022647424732
E3M2BC1771,2024-03-21 16:18:24,139.59,160748.52,99.98,185.7,577.17,727.44,14.64417,13.56283,141.10443421052634
E3M2BC1771,2024-03-21 16:18:29,140.02,168897.61,99.98,193.94,577.17,727.44,14.68563,13.55164,139.4213712408759
E3M2BC1771,2024-03-21 16:18:34,139.79,177397.5,99.98,201.53,576.38,726.9,14.4663,13.40496,140.182901459854
E3M2BC1771,2024-03-21 16:18:38,140.04,185376.05,99.98,208.86,576.38,726.9,14.28023,13.45978,141.27356065337497
E3M2BC1771,2024-03-21 16:18:43,139.87,193578.59,99.98,218.86,576.82,727.01,14.37219,13.62299,142.02255556628833
E3M2BC1771,2024-03-21 16:18:48,140.0,201844.41,99.98,226.39,576.82,727.01,14.26354,13.53416,142.5402123990107
E3M2BC1771,2024-03-21 16:18:53,139.82,210046.36,99.99,234.39,577.4,726.83,14.33594,13.33194,142.56725922506183
E3M2BC1771,2024-03-21 16:18:58,140.06,218291.11,99.99,242.16,577.4,726.83,14.36903,13.2832,142.45448855803457
E3M2BC1771,2024-03-21 16:19:03,140.02,226525.14,99.98,249.7,577.23,727.03,14.44284,13.41037,142.47875040038826
E3M2BC1771,2024-03-21 16:19:08,139.94,234716.77,99.99,260.04,577.23,727.03,14.45492,13.4152,142.46012925880925
E3M2BC1771,2024-03-21 16:19:13,140.04,242929.28000000003,99.98,266.87,577.7,726.82,14.28931,13.40398,142.61223227371997
