batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP,thickness_average_second,time_gap
E3N2BC1431,2024-03-22 13:47:38,134.56,925.2900000000009,15.01,26.12,532.98,682.21,15.65446,14.63627,145.4395056097561,24.0
E3N2BC1431,2024-03-22 13:47:43,136.47,2135.709999999999,14.98,27.17,537.98,687.21,14.40003,13.52578,144.9788219261054,24.0
E3N2BC1431,2024-03-22 13:47:48,133.32,3365.130000000001,14.98,28.27,542.98,692.21,14.71168,13.54242,144.85746071645417,24.0
E3N2BC1431,2024-03-22 13:47:53,133.78,4594.200000000001,15.01,29.8,542.98,692.21,14.00938,13.26215,144.47464566929133,24.0
E3N2BC1431,2024-03-22 13:47:58,135.13,5821.540000000001,15.01,30.95,547.98,697.21,14.00938,13.26215,145.01670575408843,24.0
E3N2BC1431,2024-03-22 13:48:03,136.53,7054.269999999997,15.0,32.14,547.98,697.21,13.92069,12.70266,144.50852063106797,24.0
E3N2BC1431,2024-03-22 13:48:08,139.0,8282.199999999997,15.01,33.29,552.22,696.42,13.68614,12.48629,144.84485540704736,24.0
E3N2BC1431,2024-03-22 13:48:13,139.01,9523.989999999998,14.98,34.42,552.22,696.42,13.82787,12.70889,142.45373446808512,24.0
E3N2BC1431,2024-03-22 13:48:18,138.93,10740.410000000003,15.0,35.6,555.22,696.42,13.93109,12.72527,143.61107927710844,24.0
E3N2BC1431,2024-03-22 13:48:23,140.18,12009.699999999997,14.98,37.16,555.22,696.42,14.05603,12.88763,144.1755501544799,24.0
E3N2BC1431,2024-03-22 13:48:28,140.46,13650.71,19.98,38.68,553.52,695.95,14.45712,13.39211,144.32360333911535,24.0
E3N2BC1431,2024-03-22 13:48:33,140.62,15289.21,20.0,40.17,553.52,695.95,14.59372,13.39314,144.91334965307894,24.0
E3N2BC1431,2024-03-22 13:48:47,140.94,20148.07,19.98,45.23,545.52,689.53,14.76249,13.55736,144.512985315534,24.0
E3N2BC1431,2024-03-22 13:49:01,139.39,24379.879999999997,4.97,49.75,545.52,689.53,14.60181,13.40056,144.47464748026715,24.0
