batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP,thickness_average_second,time_gap
E3E2BC1911,2024/3/14 17:43,140.04,1004507.31,99.99,1029.9,475.6,458.31,13.5859,11.69601,145.1748445869899,295.5
E3E2BC1911,2024/3/14 17:43,140.02,1012676.63,99.99,1037.25,473.76,459.53,13.71161,11.93195,144.32167030924393,295.5
E3E2BC1911,2024/3/14 17:44,139.79,1020856.44,99.98,1046.44,473.76,459.53,13.80418,11.98988,143.951000855432,295.5
E3E2BC1911,2024/3/14 17:44,139.77,1029089.5,99.98,1053.71,474.66,460.91,13.64642,11.86394,144.95820650993429,295.5
E3E2BC1911,2024/3/14 17:44,140.08,1037301.25,99.96,1062.87,474.66,460.91,13.69197,11.79672,145.77744836791652,295.5
E3E2BC1911,2024/3/14 17:44,140.08,1045332.0,99.98,1070.61,474.35,460.0,13.75122,12.12511,145.16512139074834,295.5
E3E2BC1911,2024/3/14 17:44,139.46,1053479.88,99.98,1078.78,474.35,460.0,13.67858,11.73405,145.11671578195148,295.5
E3E2BC1911,2024/3/14 17:44,139.86,1061712.38,99.99,1087.8,476.55,461.02,13.7182,11.61485,145.2647480496445,295.5
E3E2BC1911,2024/3/14 17:44,140.27,1069924.13,99.99,1095.1,476.55,461.02,13.95491,12.33533,145.21154275814024,295.5
E3E2BC1911,2024/3/14 17:44,140.34,1077997.5,99.98,1102.89,473.55,459.52,13.28304,11.169,144.97408110159384,295.5
E3E2BC1911,2024/3/14 17:44,139.16,1086145.5,100.01,1110.2,473.55,459.52,13.58424,11.69786,144.60597953216373,295.5
E3E2BC1911,2024/3/14 17:44,139.63,1094314.63,99.99,1119.33,476.95,463.19,13.89759,12.69033,145.3723509452254,295.5
E3E2BC1911,2024/3/14 17:44,140.66,1102462.25,99.98,1126.86,476.95,463.19,13.89759,12.69033,145.40554742927213,295.5
E3E2BC1911,2024/3/14 17:45,139.75,1126799.38,99.99,1152.5,473.32,459.09,13.95215,12.61213,144.77506443418125,295.5
E3E2BC1911,2024/3/14 17:45,139.78,1149977.5,99.98,1174.25,473.32,459.09,13.92579,12.63835,144.5382195724667,295.5
E3E2BC1911,2024/3/14 17:45,139.66,1158125.25,100.01,1182.7,476.16,462.48,13.99334,12.73583,144.79667948951686,295.5
E3E2BC1911,2024/3/14 17:45,139.96,1166294.5,99.99,1190.55,476.17,462.48,13.98742,12.70918,144.94561750227896,295.5
E3E2BC1911,2024/3/14 17:45,140.38,1174452.88,99.98,1199.89,475.86,461.27,13.65583,11.85154,145.34240887484032,295.5
