batch_num,time,thickness_average,roll_length,speed,meter,gapDR,gapOP,MES_pressureDR,MES_pressureOP,thickness_average_second,time_gap
E3E2BC1911,2024/3/14 17:33,138.69,1160.8400000000001,29.99,26.14,458.88,455.48,15.02699,14.76276,144.2413861786972,295.5
E3E2BC1911,2024/3/14 17:33,141.02,3606.4500000000007,29.98,28.17,458.88,455.48,14.99642,15.1057,146.6075591999687,295.5
E3E2BC1911,2024/3/14 17:33,136.03,6049.740000000002,29.99,31.03,458.88,455.48,14.83689,14.42943,146.92326587137686,295.5
E3E2BC1911,2024/3/14 17:33,136.46,8495.629999999997,29.99,33.25,458.88,452.48,13.03811,11.07595,146.78661630834785,295.5
E3E2BC1911,2024/3/14 17:33,136.36,10939.830000000002,29.96,35.91,478.88,460.48,12.68456,11.00151,146.4455051163021,295.5
E3E2BC1911,2024/3/14 17:33,141.06,16580.050000000003,19.98,41.66,481.17,469.19,13.22111,11.46664,145.61811925547286,295.5
E3E2BC1911,2024/3/14 17:33,140.76,24342.92,39.98,49.21,478.37,467.01,13.35905,11.7496,145.6318442622951,295.5
E3E2BC1911,2024/3/14 17:34,141.33,27673.32,39.98,52.18,470.37,459.01,13.87704,13.14775,145.14035603901576,295.5
E3E2BC1911,2024/3/14 17:34,141.05,33908.21,86.44,57.89,461.56,454.2,15.20623,14.95469,144.8843908764322,295.5
E3E2BC1911,2024/3/14 17:34,138.21,41816.34,99.98,63.28,458.28,452.58,14.39606,12.92825,145.8700485106383,295.5
E3E2BC1911,2024/3/14 17:34,139.55,50005.770000000004,99.98,72.93,466.28,460.22,14.27692,12.8976,145.84232313102922,295.5
E3E2BC1911,2024/3/14 17:34,139.61,58191.34,99.98,81.97,474.28,467.59,13.42931,11.63928,145.36810170083876,295.5
E3E2BC1911,2024/3/14 17:34,141.66,66539.34,99.98,89.43,474.28,467.59,13.42931,11.63928,146.29778891545212,295.5
E3E2BC1911,2024/3/14 17:34,141.66,74526.8,99.98,98.71,466.29,456.59,14.52859,14.31144,145.63199488957838,295.5
E3E2BC1911,2024/3/14 17:34,139.95,82664.27,99.98,106.07,463.29,453.59,14.76181,14.10209,144.83050594851775,295.5
E3E2BC1911,2024/3/14 17:34,138.24,90812.43,99.98,113.39,471.28,455.55,14.15379,13.31418,145.18139254362433,295.5
E3E2BC1911,2024/3/14 17:34,139.76,99002.59,99.98,121.63,477.28,455.55,13.48836,11.68266,145.88454637161684,295.5
E3E2BC1911,2024/3/14 17:34,140.92,107160.76999999999,99.99,129.19,475.28,466.54,13.3771,10.82141,145.27783452272436,295.5
E3E2BC1911,2024/3/14 17:34,141.32,115329.42000000001,99.98,139.07,475.28,469.55,13.3771,10.82141,146.48263351846867,295.5
E3E2BC1911,2024/3/14 17:35,141.92,123572.25,99.98,146.39,467.28,461.54,14.02951,12.74313,146.1678517944244,295.5
E3E2BC1911,2024/3/14 17:35,139.7,131645.83,99.99,155.58,467.28,461.54,13.42752,11.81701,144.41566129495982,295.5
E3E2BC1911,2024/3/14 17:35,141.47,156046.34,99.99,179.72,473.81,466.71,13.40716,11.81027,146.01219798274394,295.5
E3E2BC1911,2024/3/14 17:35,141.0,179159.67,99.98,203.58,473.81,463.7,13.58675,11.84063,144.7449234948575,295.5
E3E2BC1911,2024/3/14 17:35,141.09,187339.03,99.98,211.06,466.41,458.32,13.55492,12.23854,144.80467386442106,295.5
E3E2BC1911,2024/3/14 17:35,138.89,195572.25,99.99,218.69,466.41,456.31,13.61631,12.55,145.37487221030588,295.5
E3E2BC1911,2024/3/14 17:35,139.09,203795.13,99.99,227.89,472.4,462.08,14.30066,13.73387,145.47351007762379,295.5
E3E2BC1911,2024/3/14 17:35,140.52,211846.88,99.98,234.26,474.41,462.08,13.77172,12.34172,144.85180038883092,295.5
E3E2BC1911,2024/3/14 17:35,140.86,219983.92,99.98,244.16,470.12,459.93,13.43275,12.2593,144.86268147898141,295.5
E3E2BC1911,2024/3/14 17:36,139.52,228153.28,99.98,251.48,470.12,459.93,13.80351,12.8017,144.75412782341857,295.5
E3E2BC1911,2024/3/14 17:36,139.77,236343.53000000003,99.99,260.69,471.8,459.78,13.49173,12.72587,145.762174522897,295.5
E3E2BC1911,2024/3/14 17:36,139.99,244512.65999999997,100.01,268.06,471.8,459.78,13.71988,12.75655,144.83040827901132,295.5
E3E2BC1911,2024/3/14 17:36,139.92,252798.90999999997,99.98,277.35,471.21,460.76,13.78529,12.38951,145.06607844638708,295.5
E3E2BC1911,2024/3/14 17:36,139.56,261021.09000000003,99.99,285.05,471.21,460.76,13.30299,12.30019,145.00514888708295,295.5
E3E2BC1911,2024/3/14 17:36,139.88,268988.22,99.98,292.19,474.05,460.68,13.45901,12.12915,145.03132609888667,295.5
E3E2BC1911,2024/3/14 17:36,140.41,277189.13,99.98,299.53,474.05,460.68,13.9224,12.73643,145.63209668978794,295.5
E3E2BC1911,2024/3/14 17:36,140.35,285326.25,99.98,309.9,470.25,459.25,13.91356,12.71257,144.52021137502723,295.5
E3E2BC1911,2024/3/14 17:36,139.23,293495.81,99.99,315.86,470.24,459.25,13.42674,12.01146,144.2257798687571,295.5
E3E2BC1911,2024/3/14 17:36,140.89,317790.13,99.98,341.59,475.55,462.09,13.41772,11.98138,144.8209323851775,295.5
E3E2BC1911,2024/3/14 17:37,140.39,340978.13,99.98,365.06,475.55,462.09,13.40953,11.8548,145.30704621218794,295.5
E3E2BC1911,2024/3/14 17:37,140.81,349157.75,99.98,372.49,470.55,456.0,13.35129,11.98029,145.230086485533,295.5
E3E2BC1911,2024/3/14 17:37,139.29,357327.13,100.01,381.52,470.55,456.0,13.86269,13.24129,144.92044911363675,295.5
E3E2BC1911,2024/3/14 17:37,139.46,365464.34,99.98,390.0,473.78,461.08,13.86856,13.13179,145.01824385078805,295.5
E3E2BC1911,2024/3/14 17:37,139.92,373623.0,99.98,397.78,473.78,461.08,13.59497,12.28908,145.255288507762,295.5
E3E2BC1911,2024/3/14 17:37,140.34,381792.0,99.98,405.23,474.46,459.52,13.55442,12.13498,145.34066264584456,295.5
E3E2BC1911,2024/3/14 17:37,140.3,389950.41,100.01,414.1,474.45,459.51,13.49627,12.48151,145.58693365735115,295.5
E3E2BC1911,2024/3/14 17:37,140.34,398108.75,99.98,421.84,471.2,457.87,13.92313,13.05831,146.06768700431385,295.5
E3E2BC1911,2024/3/14 17:37,139.45,406268.06,99.98,430.8,471.2,457.87,13.82575,12.97412,145.639101715985,295.5
